Date,price
1993-07-23,447.10
1993-07-26,449.09
1993-07-27,448.24
1993-07-28,447.19
1993-07-29,450.24
1993-07-30,448.13
1993-08-02,450.15
1993-08-03,449.27
1993-08-04,448.54
1993-08-05,448.13
1993-08-06,448.68
1993-08-09,450.72
1993-08-10,449.45
1993-08-11,450.46
1993-08-12,448.96
1993-08-13,450.14
1993-08-16,452.38
1993-08-17,453.13
1993-08-18,456.04
1993-08-19,456.43
1993-08-20,456.16
1993-08-23,455.23
1993-08-24,459.77
1993-08-25,460.13
1993-08-26,461.04
1993-08-27,460.54
1993-08-30,461.90
1993-08-31,463.56
1993-09-01,463.15
1993-09-02,461.30
1993-09-03,461.34
1993-09-07,458.52
1993-09-08,456.65
1993-09-09,457.50
1993-09-10,461.72
1993-09-13,462.06
1993-09-14,459.90
1993-09-15,461.60
1993-09-16,459.43
1993-09-17,458.83
1993-09-20,455.05
1993-09-21,452.95
1993-09-22,456.20
1993-09-23,457.74
1993-09-24,457.63
1993-09-27,461.80
1993-09-28,461.53
1993-09-29,460.11
1993-09-30,458.93
1993-10-01,461.28
1993-10-04,461.34
1993-10-05,461.20
1993-10-06,460.74
1993-10-07,459.18
1993-10-08,460.31
1993-10-11,460.88
1993-10-12,461.12
1993-10-13,461.49
1993-10-14,466.83
1993-10-15,469.50
1993-10-18,468.45
1993-10-19,466.21
1993-10-20,466.07
1993-10-21,465.36
1993-10-22,463.27
1993-10-25,464.20
1993-10-26,464.30
1993-10-27,464.61
1993-10-28,467.73
1993-10-29,467.83
1993-11-01,469.10
1993-11-02,468.44
1993-11-03,463.02
1993-11-04,457.49
1993-11-05,459.57
1993-11-08,460.21
1993-11-09,460.33
1993-11-10,463.72
1993-11-11,462.64
1993-11-12,465.39
1993-11-15,463.75
1993-11-16,466.74
1993-11-17,464.81
1993-11-18,463.62
1993-11-19,462.60
1993-11-22,459.13
1993-11-23,461.03
1993-11-24,462.36
1993-11-26,463.06
1993-11-29,461.90
1993-11-30,461.79
1993-12-01,461.89
1993-12-02,463.11
1993-12-03,464.89
1993-12-06,466.43
1993-12-07,466.76
1993-12-08,466.29
1993-12-09,464.18
1993-12-10,463.93
1993-12-13,465.70
1993-12-14,463.06
1993-12-15,461.84
1993-12-16,463.34
1993-12-17,466.38
1993-12-20,465.85
1993-12-21,465.30
1993-12-22,467.32
1993-12-23,467.38
1993-12-27,470.54
1993-12-28,470.94
1993-12-29,470.58
1993-12-30,468.64
1993-12-31,466.45
1994-01-03,465.44
1994-01-04,466.89
1994-01-05,467.55
1994-01-06,467.12
1994-01-07,469.90
1994-01-10,475.27
1994-01-11,474.13
1994-01-12,474.17
1994-01-13,472.47
1994-01-14,474.91
1994-01-17,473.30
1994-01-18,474.25
1994-01-19,474.30
1994-01-20,474.98
1994-01-21,474.72
1994-01-24,471.97
1994-01-25,470.92
1994-01-26,473.20
1994-01-27,477.05
1994-01-28,478.70
1994-01-31,481.61
1994-02-01,479.62
1994-02-02,482.00
1994-02-03,480.71
1994-02-04,469.81
1994-02-07,471.76
1994-02-08,471.05
1994-02-09,472.77
1994-02-10,468.93
1994-02-11,470.18
1994-02-14,470.23
1994-02-15,472.52
1994-02-16,472.79
1994-02-17,470.34
1994-02-18,467.69
1994-02-22,471.46
1994-02-23,470.69
1994-02-24,464.26
1994-02-25,466.07
1994-02-28,467.14
1994-03-01,464.44
1994-03-02,464.81
1994-03-03,463.01
1994-03-04,464.74
1994-03-07,466.91
1994-03-08,465.88
1994-03-09,467.06
1994-03-10,463.90
1994-03-11,466.44
1994-03-14,467.39
1994-03-15,467.01
1994-03-16,469.42
1994-03-17,470.90
